name,port,header,protocol,status,fill,stroke,refs,image
NBAStats,80,nbastats,http,Started,#d5e8d131,#82b493,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBDLLogo,80,nbdllogo,http,Stopped,#d5e8d132,#82b494,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Nesbit,9021,,http,Started,#d5e8d133,#82b495,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
netscalertest,9555,,http,Started,#d5e8d134,#82b496,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OfflineMessage,8234,,http,Started,#d5e8d135,#82b497,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OIW,80,oiw,http,Stopped,#d5e8d136,#82b498,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OIW Game Report,8191,,http,Started,#d5e8d137,#82b499,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OIW v2,8171,,http,Started,#d5e8d138,#82b500,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OIW_4.0,8006,,http,Started,#d5e8d139,#82b501,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OIW2SAP_Service,8633,,http,Started,#d5e8d140,#82b502,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OMS,8211,,http,Started,#d5e8d141,#82b503,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OngoingFeedback,8142,,http,Stopped,#d5e8d142,#82b504,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OngoingFeedbackBB,8143,,http,Started,#d5e8d143,#82b505,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OnLineTraining (dead),8132,,http,Stopped,#d5e8d144,#82b506,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
OperationsManual,8100,,http,Started,#d5e8d145,#82b507,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ORSCore,8114,,http,Started,#d5e8d146,#82b508,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ORSDLeague,8089,,http,Started,#d5e8d147,#82b509,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ORSPilot,8184,,http,Started,#d5e8d148,#82b510,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ORSServiceDLeague,8252,,http,Started,#d5e8d149,#82b511,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ORSWebService,8210,,http,Started,#d5e8d150,#82b512,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ORSWebserviceV2,8233,,http,Started,#d5e8d151,#82b513,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
